timestamp,battery,current_ma,mah_drawn,mah_remain,soc,auto_land,alt,roll,pitch,yaw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,rc_roll,rc_pitch,rc_yaw,rc_throttle,rc_aux1,rc_aux2,rc_aux3,rc_aux4,pid_roll_p,pid_roll_i,pid_roll_d,pid_pitch_p,pid_pitch_i,pid_pitch_d,pid_yaw_p,pid_yaw_i,pid_yaw_d
1779415872.532,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415873.626,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415874.703,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415875.778,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415876.858,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415877.942,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415879.028,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415880.109,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415881.203,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415882.314,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415883.442,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415884.520,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415885.591,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415886.671,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415887.750,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415888.834,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415889.911,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415890.992,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415892.068,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415893.178,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415894.281,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415895.392,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415896.482,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415897.554,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415898.628,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415899.714,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415900.794,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415901.871,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415902.971,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415904.061,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415905.146,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415906.218,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415907.294,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415908.383,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415909.474,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1300,1500,1000,1000,1200,40,40,40,40,40,40,85,45,0
1779415910.553,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1300,1500,1000,1000,1200,40,40,40,40,40,40,85,45,0
1779415911.638,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1300,1500,1000,1000,1200,40,40,40,40,40,40,85,45,0
1779415912.722,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415913.840,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415914.954,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415916.079,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415917.179,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415918.261,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415919.375,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415920.978,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415922.115,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415923.204,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415924.304,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415925.405,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415926.496,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415927.637,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415928.752,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415929.856,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415930.954,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415932.065,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415933.178,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415934.291,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415935.404,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415936.502,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415937.608,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415938.710,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415939.918,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415941.073,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415942.179,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415943.275,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415944.375,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415945.470,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415946.569,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415947.670,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415948.778,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415949.920,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415951.043,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415952.177,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415953.274,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415954.342,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415955.419,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415956.488,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415957.558,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415958.625,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415959.692,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415960.766,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415961.835,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415962.917,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415963.998,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415965.068,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779415966.143,3.62,1600,33,367,58,0,-0.12,-0.5,-3.2,-171,0.002,-0.018,0.996,1.25,-0.50,-2.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
